8.4977,11.911,7.9482,5.773,4.0756,5.5136,11.675,13.554,12.872,13.034,6.0598,-0.79128,0.78537,4.1038,4.4602,0.55442,-2.2873,-0.138,7.3122,6.7655,2.0978,-4.1728,-10.034,-14.52,-16.79,-18.096,-16.078,-11.469,-16.837,-22.162,-21.325,-20.728,-19.97,-14.17,-12.957,-16.262,-17.712,-17.574,-10.667,-10.743,-8.3784,-7.3139,-7.726,-6.972,-0.26587,4.8993,8.2137,11.309,13.85,16.821,18.772,13.087,6.7601,6.7469,1.7138,1.4862,-3.4609,-5.3675,-5.3144,-4.5438,-5.0668,-11.54,-12.647,-10.437,-11.848,-11.875,-6.9471,-4.417,0.6091,5.5085,6.9524,2.3579,-2.8151,-7.8248,-9.1937,-6.3989,-3.506,-3.6886,1.8356,-1.4095,-7.9158,-14.581,-17.24,-17.253,-13.454,-11.501,-6.6082,-3.5942,1.9184,5.2435,9.9647,-3.7979,1.736,-3.1365,-1.457,0.86249,-2.1114,-7.4984,-5.0256,1.8789,6.333,6.7971,4.4271,5.2136,12.486,19.217,23.244,23.622,19.344,12.16,10.564,12.542,16.343,16.549,12.616,6.7488,0.63534,0.86432,-3.6855,-5.2251,-8.703,-15.165,-15.026,-9.8684,-5.1577,-1.8609,-8.1419,-7.0425,-10.627,-17.094,-18.752,-20.022,-19.416,-18.942,-25.093,-29.053,-30.026,-30.284,-31.108,-30.385,-28.687,-21.209,-18.864,-20.276,-19.339,-12.394,-10.411,-12.247,-9.8868,-12.569,-18.974,-21.922,-24.645,-32.194,-38.19,-37.62,-35.494,-29.23,-28.291,-25.126,-25.664,-30.227,-35.022,-32.261,-26.368,-27.951,-26.144,-21.684,-16.231,-21.363,-20.547,-25.256,-24.763,-24.461,-23.641,-27.598,-34.687,-40.957,-42.52,-40.694,-34.517,-35.312,-38.725,-38.389,-33.282,-29.155,-35.062,-38.382,-44.388,-45.483,-42.304,-36.127,-32.914,-30.338,-27.685,-27.207,-25.151,-19.738,-21.03,-21.417,-22.85,-18.252,-15.596,-14.708,-15.387,-9.5586,-5.0571,-6.2482,-11.937,-12.927,-19.214,-22.33,-18.072,-14.008,-8.0731,-0.94454,5.4105,2.9028,-4.033,-11.34,-8.7397,-11.454,-13.459,-11.495,-6.5828,-1.8202,0.42881,2.1955,-3.0677,-6.7191,-3.6098,-1.523,5.0955,10.36,15.491,18.437,14.692,10.34,12.895,16.231,22.259,21.868,22.336,17.828,15.7,9.3185,3.513,-1.4696,-1.5649,2.45,6.7893,6.4622,5.9196,2.6612,-3.722,-10.102,-14.138,-11.943,-5.1104,-3.5289
13.417,8.1245,2.2066,-3.9149,-9.6804,-16.044,-18.875,-15.232,-7.9538,-2.8167,-1.6687,-0.83966,4.4549,6.7234,9.4105,14.068,18.174,21.995,22.93,21.762,26.413,22.844,18.711,13.402,8.0453,3.135,-3.3645,-8.311,-11.196,-16.324,-20.311,-19.093,-22.13,-19.479,-12.944,-14.768,-18.278,-18.677,-20.41,-26.613,-29.264,-32.773,-32.416,-31.37,-29.412,-30.644,-29.607,-27.335,-23.298,-17.869,-17.625,-20.067,-19.593,-19.68,-23.587,-17.052,-18.703,-19.694,-20.396,-18.834,-21.896,-19.541,-14.763,-9.5113,-3.9044,0.52292,5.1957,2.3337,4.2553,9.2599,4.6957,-0.33803,-1.4585,1.7516,7.1365,4.2037,-1.3724,-4.855,-2.664,3.2047,5.9592,3.8172,-0.72851,-5.7862,-5.6958,-5.9019,-7.1357,-5.6644,-8.5831,-9.9732,-12.524,-7.46,-9.4423,-10.295,-14.308,-17.3,-14.571,-13.212,-11.022,-10.323,-8.5343,-4.7548,-1.5213,-3.867,-6.922,-9.1255,-6.4277,0.33812,3.1709,2.7687,3.3777,-1.7732,-1.9047,3.4456,9.3519,13.128,13.121,14.006,12.431,12.297,7.9529,6.6016,2.6708,0.47238,-1.1807,4.2074,0.4438,0.46945,0.98973,3.2283,9.6527,16.429,21.864,22.281,24.025,21.065,20.544,17.3,14.378,20.811,26.681,25.699,22.278,16.343,20.227,20.783,27.888,32.866,31.446,28.188,24.595,18.338,12.75,13.47,14.635,17.732,24.356,23.492,16.454,9.4769,2.5434,4.872,6.8874,9.9574,6.3631,6.4847,9.5458,9.0961,8.363,7.0856,11.135,-3.594,-8.5916,-10.686,-12.581,-12.966,-10.424,-8.8236,-8.7036,-12.969,-14.056,-14.451,-11.049,-3.7711,-0.084788,-5.2041,-2.723,2.8707,0.50987,0.057238,-2.2948,-2.3705,-2.7946,-5.0734,-0.19691,1.1239,-2.8656,-2.4547,-1.2484,-2.2635,1.0612,-3.8046,-4.9958,1.9471,6.1077,10.536,9.2203,5.3928,8.1386,12.621,9.2411,14.135,15.096,16.919,21.836,23.277,23.414,17.492,15.247,13.563,20.316,25.925,25.398,18.613,21.301,22.134,16.367,12.228,7.6969,6.8589,9.3764,3.1566,5.6848,11.428,10.078,8.752,1.2153,-1.9757,-0.2517,-1.1998,-0.68895,1.2448,-5.06,-10.384,-16.621,-16.018,-17.773,-13.611,-6.8032,-2.775,2.7675,8.7557,6.6236,0.36415,-2.9308,-4.9226,-10.222,-15.156,-15.902,-14.853
-0.29414,2.08,1.8106,1.3655,-0.71155,1.3546,1.2251,6.9851,5.677,10.518,11.332,13.252,18.468,24.091,30.403,30.546,25.751,20.245,17.884,10.361,8.0302,9.4242,9.1226,5.0548,-0.00055329,-5.9179,-9.4305,-6.7585,-4.6959,-4.2876,1.6501,8.7688,15.488,14.056,16.791,23.343,29.171,35.986,38.082,37.26,30.725,24.981,18.083,11.028,13.259,17.155,23.116,29.332,34.452,31.197,24.635,21.316,24.441,31.111,35.187,32.873,27.41,19.793,11.929,4.7164,-1.8285,-2.4254,3.139,7.5071,12.654,18.386,19.253,12.787,7.5532,9.1147,14.039,17.075,22.503,26.578,29.799,35.33,36.545,42.942,46.632,48.856,46.597,45.099,40.118,34.976,28.765,21.141,14.293,7.1674,6.3102,11.94,16.247,24.777,20.81,16.055,10.58,16.154,22.606,27.338,33.601,33.166,27.863,22.978,29.045,35.058,34.945,33.107,28.008,30.388,35.682,38.204,31.43,27.157,21.718,17.187,18.898,19.897,18.685,10.906,5.1549,-1.4195,-4.9751,-7.194,-0.91487,3.0149,-0.42556,-3.1111,-4.4088,-10.585,-16.209,-18.787,-21.687,-20.126,-15.918,-9.1613,-6.4384,-1.5593,5.2946,12.055,18.724,22.399,18.703,19.736,25.088,21.637,15.075,17.997,15.323,9.2167,3.6445,-1.9487,1.1986,-0.67044,-3.6121,-4.4684,-6.9362,-14.033,-12.769,-14.947,-13.593,-12.528,-9.9195,-4.909,0.30964,5.74,5.7223,12.703,17.997,22.64,26.86,31.651,37.031,-4.4296,1.8362,9.1494,16.023,21.522,19.198,14.758,7.2891,2.9818,5.8604,13.655,19.919,22.784,19.57,16.56,12.05,10.719,7.6388,0.74785,-5.0489,-2.5445,3.5073,9.6347,15.403,22.503,27.733,24.359,17.932,11.107,4.9025,2.3235,8.9562,10.899,16.809,17.545,11.436,6.4815,9.4329,15.281,13.875,10.797,5.1146,-0.0048459,-1.8915,-2.5102,-6.6717,-8.4454,-9.8778,-11.061,-9.7967,-13.157,-19.757,-21.281,-24.883,-19.589,-22.57,-27.714,-27.045,-21.321,-14.781,-13.576,-13.567,-14.124,-9.9424,-16.159,-17.818,-13.753,-6.7064,0.025595,-2.705,-10.112,-12.701,-14.465,-11.558,-8.9223,-9.974,-8.528,-10.752,-7.44,-6.6843,-11.19,-18.458,-21.826,-24.392,-22.045,-19.477,-15.141,-16.194,-22.095
4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,73,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,161,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259
